preference_key,movie_title,star_cast,rating,year,place,vote,link
1,0 La bella y la bestia,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.003078815100169,1991,2,,/title/tt0101414/
2,9 Historias cruzadas,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.004705300330428,2011,2,,/title/tt1454029/
3,8 Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.004841942075982,2021,2,,/title/tt15097216/
4,7 Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.00660384051454,1982,2,,/title/tt0083987/
1,6 Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.007040474871761,1992,2,,/title/tt0103639/
2,5 The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.009125339743724,2016,2,,/title/tt4016934/
3,4 La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.013515372579173,1965,2,,/title/tt0059742/
4,3 Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013603543190486,1934,2,,/title/tt0025316/
1,2 Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.01438197839145,2005,2,,/title/tt0476735/
2,1 La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.014891817842212,1979,2,,/title/tt0079470/
3, Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.015383423984703,1975,24,,/title/tt0071411/
4, El pecado compartido,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.01573878493072,1966,23,,/title/tt0060827/
1, La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.016076467058818,1995,23,,/title/tt0113247/
2, Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.016294351234508,1959,23,,/title/tt0053198/
3, Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.01879240182203,2003,23,,/title/tt0325980/
4, Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.020949747746677,2000,23,,/title/tt0245712/
1, La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.021441130286478,1967,23,,/title/tt0061512/
2, Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.02173003913866,2009,23,,/title/tt1028532/
3, La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.02235533034382,1966,23,,/title/tt0058946/
4, Viacrucis,"John Ford (dir.), Henry Fonda, Jane Darwell",8.02259273306387,1940,23,,/title/tt0032551/
1," Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.022659369717116,1940,23,,/title/tt0032976/
2, Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.024639883406442,1942,22,,/title/tt0035446/
3, Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025525178823102,2004,22,,/title/tt0317705/
4, Lo mejor de nuestra vida,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.026128681624442,1946,22,,/title/tt0036868/
1, Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.028290646276952,2004,22,,/title/tt0381681/
2, El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.028405934265441,1973,22,,/title/tt0070047/
3, Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.031898986437499,2007,22,,/title/tt0382932/
4, Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.032578267040227,1993,22,,/title/tt0107048/
1, Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.035463963065107,2017,22,,/title/tt3315342/
2, El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.036038239174001,1939,22,,/title/tt0032138/
3, Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.037171444966168,1976,22,,/title/tt0074958/
4, Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.03752099030366,2007,21,,/title/tt0758758/
1, Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.039287966764025,2013,21,,/title/tt1979320/
2, En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.039360770349777,2015,21,,/title/tt1895587/
3, Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.041450869844779,1984,21,,/title/tt0088247/
4, Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.042269980351751,1986,21,,/title/tt0092005/
1, Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.045759287865062,2019,21,,/title/tt1950186/
2, Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.047380529239117,1976,21,,/title/tt0075148/
3, Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.047384676474111,1986,21,,/title/tt0091763/
4, Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.05176371603025,1955,21,,/title/tt0048473/
1, Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.051928682533335,1953,21,,/title/tt0046438/
2, La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.0522879190347,1989,20,,/title/tt0097165/
3, Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.052946400419957,2004,20,,/title/tt0395169/
4, La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.055471315312472,1928,20,,/title/tt0019254/
1, Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.057863882577806,1975,20,,/title/tt0073195/
2," Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.058482364874491,2001,20,,/title/tt0198781/
3, Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.060293716714094,2009,20,,/title/tt0978762/
4, Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061758131395806,2015,20,,/title/tt1392190/
1, Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.061967241556339,2010,20,,/title/tt0892769/
2, Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.062811500189879,1998,20,,/title/tt0118715/
3, Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.064776150722794,2014,20,,/title/tt3011894/
4, El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.066295912388096,1957,19,,/title/tt0050976/
1, Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.066769354582215,2019,19,,/title/tt4729430/
2, Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.067123425397105,2016,19,,/title/tt2119532/
3, Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.067508220316531,2015,19,,/title/tt3170832/
4, Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.06831920587588,2003,19,,/title/tt0353969/
1, Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.069049772337856,1924,19,,/title/tt0015324/
2, Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.069438729492235,1975,19,,/title/tt0072684/
3, El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.069984187212352,1953,19,,/title/tt0046268/
4, Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.071234689573467,1939,19,,/title/tt0031679/
1, El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.072431346448958,2014,19,,/title/tt2278388/
2, En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.074286120811452,1993,18,,/title/tt0107207/
3, Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.075741492699605,2011,18,,/title/tt1201607/
4, El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.075851347297583,1978,18,,/title/tt0077416/
1, Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.076589263639278,1995,18,,/title/tt0112471/
2, Las fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.077280354923005,1957,18,,/title/tt0050986/
3, Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.07731992547611,2014,18,,/title/tt2267998/
4, El general,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.077571146090193,1926,18,,/title/tt0017925/
1, 12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.078114981755254,2013,18,,/title/tt2024544/
2, Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.078796720516639,1959,18,,/title/tt0052618/
3, Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.08062175010713,1997,18,,/title/tt0118849/
4, El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.08256899166434,1949,17,,/title/tt0041959/
1, Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.084498680642964,1954,17,,/title/tt0047296/
2, Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.086127647056609,2002,17,,/title/tt0264464/
3, Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.087101325898592,1982,17,,/title/tt0083658/
4, La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.087884989389984,1925,17,,/title/tt0015864/
1, Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.090039053749537,2004,17,,/title/tt0405159/
2, Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.094971615489484,2013,17,,/title/tt1392214/
3, Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.095412504852089,1988,17,,/title/tt0096283/
4," Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.10340166878336,1996,17,,/title/tt0116282/
1, La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.105021912593024,2011,17,,/title/tt1291584/
2, Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.105348868029697,2008,16,,/title/tt1205489/
3, La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.111610007098761,1996,16,,/title/tt0117951/
4, Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111715922537027,2017,16,,/title/tt5027774/
1, El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.114392208352625,2004,16,,/title/tt0347149/
2, El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.114467081034554,1957,16,,/title/tt0050212/
3, El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.117853342061094,2009,16,,/title/tt1305806/
4, Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.119117876391817,1954,16,,/title/tt0046912/
1," Juegos, trampas y dos armas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.123540637767519,1998,16,,/title/tt0120735/
2, La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.124560444839602,1982,16,,/title/tt0084787/
3, Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.12460495653971,2015,16,,/title/tt2096673/
4, V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.126089002768662,2005,15,,/title/tt0434409/
1, Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.126984818922464,1939,15,,/title/tt0031381/
2, Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129324994445875,1974,15,,/title/tt0071315/
3, El toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.129906833009295,1980,15,,/title/tt0081398/
4, El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.130990228310068,1980,15,,/title/tt0080678/
1, Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131240058468254,2003,15,,/title/tt0266543/
2, Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.135428061781395,2007,15,,/title/tt0477348/
3, Kill Bill Vol 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.137361127231086,2003,15,,/title/tt0266697/
4, Parque jurásico,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.140610172893922,1993,15,,/title/tt0107290/
1,El gran escape,"John Sturges (dir.), Steve McQueen, James Garner",8.142415895217574,1963,150,,/title/tt0057115/
2,Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.14272023874717,1950,149,,/title/tt0042876/
3,La isla siniestra,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.142792196493852,2010,148,,/title/tt1130884/
4,El tesoro de la Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.147937488016188,1948,147,,/title/tt0040897/
1,Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.148933133812887,1961,146,,/title/tt0055630/
2,The Truman Show: Historia de una vida,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.15166807957274,1998,145,,/title/tt0120382/
3,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.152829833613694,1975,144,,/title/tt0071853/
4,Una mente brillante,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.153162528538621,2001,143,,/title/tt0268978/
1,El sexto sentido,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.153755558270175,1999,142,,/title/tt0167404/
2,Petróleo sangriento,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.15483875480661,2007,141,,/title/tt0469494/
3,El laberinto del fauno,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.163424872678332,2006,140,,/title/tt0457430/
4,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.16362611216653,1985,139,,/title/tt0089881/
1,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163744234803467,1995,138,,/title/tt0112641/
2,Los imperdonables,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.1646971329206,1992,137,,/title/tt0105695/
3,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.168625770096249,1961,136,,/title/tt0055031/
4,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.1714154861661,2013,135,,/title/tt0993846/
1,Green Book: Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.17437369874794,2018,134,,/title/tt6966692/
2,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180015308193024,1950,133,,/title/tt0042192/
3,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.182737900324836,2020,132,,/title/tt10272386/
4,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.18629508653379,2022,131,,/title/tt6710474/
1,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.191485779711996,1959,130,,/title/tt0053291/
2,El chiquillo,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.194450146729583,1921,129,,/title/tt0012349/
3,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.19754915804394,2016,128,,/title/tt5074352/
4,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.202251731159064,2005,127,,/title/tt0372784/
1,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.203467702498038,1965,126,,/title/tt0059578/
2,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.204645085122674,2004,125,,/title/tt0363163/
3,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.205919624225965,2007,124,,/title/tt0986264/
4,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.212239568612977,2019,123,,/title/tt8579674/
1,Spider-Man: sin camino a casa,"Jon Watts (dir.), Tom Holland, Zendaya",8.214819355546409,2021,122,,/title/tt10872600/
2,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.217601502775967,1948,121,,/title/tt0040522/
